time,ward_id,scenario_id,avg_speed,congestion_score,queue_length,throughput,inflow,outflow,waiting_time,incident_flag,ambulance_flag,pressure,city_cap,ppo_action,ppo_action_id,area_directive,city_directive
23,ward_017,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
23,ward_018,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
24,ward_070,chaos_mode,1.3175506020232886,0.75,3.0,4.0,1.0,0.0,5.5,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
24,ward_071,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
24,ward_072,chaos_mode,0.4112877713012318,0.6,3.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
24,ward_017,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
24,ward_018,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
25,ward_070,chaos_mode,2.2016419880593046,0.5,2.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
25,ward_071,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
25,ward_072,chaos_mode,0.05844363003648576,0.6,3.0,5.0,0.0,0.0,4.6,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
25,ward_017,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
25,ward_018,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
26,ward_070,chaos_mode,2.369267265665144,0.5,2.0,4.0,1.0,0.0,6.5,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
