time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
190,1.1645107047079204,0.9047619047619048,46.0,0.0,0.0,0.0,84.45714285714284,230.78571428571428,422.2857142857143,35
191,1.172761984969732,0.9047619047619048,46.0,0.0,0.0,0.0,85.36190476190475,233.47619047619048,426.8095238095238,35
192,1.1661819417167756,0.9047619047619048,47.0,0.0,0.0,0.0,84.38809523809525,226.77380952380952,421.9404761904762,35
193,1.1321963604173564,0.8880952380952382,47.0,0.0,0.0,0.0,85.27619047619048,229.38095238095238,426.3809523809524,35
194,1.179277463947161,0.8880952380952382,47.0,0.0,0.0,0.0,86.16428571428571,231.98809523809524,430.82142857142856,35
195,1.222404100931095,0.8880952380952382,47.0,0.0,0.0,0.0,87.05238095238096,234.5952380952381,435.26190476190476,35
196,1.2992809323873158,0.8880952380952382,47.0,0.0,0.0,0.0,87.94047619047619,237.20238095238096,439.70238095238096,35
197,1.3294860762533132,0.8908730158730158,48.0,0.0,0.0,0.0,87.27023809523808,232.01785714285714,436.3511904761905,35
198,1.3016233731397722,0.8766666666666667,49.0,0.0,0.0,0.0,84.92666666666668,218.46666666666667,424.6333333333333,35
199,1.3654689702304714,0.8316666666666667,47.0,0.0,0.0,0.0,85.75833333333334,220.79166666666669,428.7916666666667,35
200,1.4884868689920119,0.8316666666666667,47.0,0.0,0.0,0.0,86.59,223.11666666666667,432.95,35
201,1.4297362038710568,0.8316666666666667,47.0,0.0,0.0,0.0,87.42166666666667,225.44166666666666,437.10833333333335,35
202,1.4226721189213483,0.8316666666666667,47.0,0.0,0.0,0.0,88.25333333333334,227.76666666666668,441.26666666666665,35
203,1.5600908082927878,0.8483333333333333,48.0,0.0,0.0,0.0,89.10166666666667,230.09166666666667,445.5083333333333,35
204,1.638163213531311,0.8733333333333333,49.0,0.0,0.0,0.0,89.975,232.54166666666669,449.875,35
205,1.6517005123325432,0.8733333333333333,50.0,0.0,0.0,0.0,84.24833333333333,234.99166666666667,421.2416666666667,35
206,1.6315180801429563,0.8233333333333333,49.0,0.0,0.0,0.0,85.07166666666667,237.44166666666666,425.35833333333335,35
207,1.7554478451228193,0.8233333333333333,49.0,0.0,0.0,0.0,85.89500000000001,239.89166666666668,429.475,35
208,1.8278465234550765,0.8233333333333333,49.0,0.0,0.0,0.0,86.71833333333333,242.34166666666667,433.5916666666667,35
209,1.7055904400401514,0.8233333333333333,49.0,0.0,0.0,0.0,87.54166666666667,244.79166666666669,437.70833333333337,35
210,1.744124861242883,0.8233333333333333,49.0,0.0,0.0,0.0,88.365,247.24166666666667,441.825,40
211,1.3828009721167807,0.8497474747474747,52.0,0.0,0.0,0.0,86.25277777777778,235.0138888888889,431.2638888888889,40
212,1.1358493288804923,0.8176767676767677,51.0,0.0,0.0,0.0,87.07045454545455,237.43560606060606,435.35227272727275,40
213,1.2298277043520525,0.8093434343434343,50.0,0.0,0.0,0.0,87.87146464646464,239.7739898989899,439.3573232323232,40
214,1.2507182322540278,0.8260101010101011,52.0,0.0,0.0,0.0,88.69747474747474,242.23737373737373,443.48737373737373,40
215,1.2428939752001162,0.8664141414141413,54.0,0.0,0.0,0.0,89.5638888888889,244.90277777777777,447.81944444444446,40
216,1.3551593978485144,0.8664141414141413,54.0,0.0,0.0,0.0,90.43030303030302,247.5681818181818,452.1515151515151,40
217,1.4378550038225644,0.8664141414141413,54.0,0.0,0.0,0.0,91.29671717171718,250.23358585858585,456.48358585858585,40
218,1.443719070849324,0.8945959595959596,56.0,0.0,0.0,0.0,87.83131313131312,252.989898989899,439.15656565656565,40
219,1.3908587957882388,0.8545959595959596,55.0,0.0,0.0,0.0,88.68590909090909,255.74621212121212,443.42954545454546,40
220,1.5198413988515744,0.8545959595959596,55.0,0.0,0.0,0.0,89.54050505050505,258.50252525252523,447.7025252525252,40
221,1.395170347775252,0.8558780108780109,56.0,0.0,0.0,0.0,88.82715229215229,261.25883838383834,444.13576146076144,40
222,1.2109945719665194,0.8404933954933954,55.0,0.0,0.0,0.0,89.6676456876457,264.0151515151515,448.33822843822844,40
223,0.8368818424580917,0.8408267288267288,56.0,0.0,0.0,0.0,89.57913908313908,262.1264646464647,447.8956954156954,40
224,0.5665928732618332,0.8732307692307693,57.0,0.0,0.0,0.0,90.45236985236986,265.04646464646464,452.26184926184925,40
225,0.5529094539980651,0.9132307692307691,58.0,0.0,0.0,0.0,91.36560062160063,267.96646464646466,456.82800310800314,40
226,0.6167995820034078,0.9366153846153846,60.0,0.0,0.0,0.0,92.30221600621601,270.92646464646464,461.51108003108004,40
227,0.6299684581727296,0.9366153846153846,60.0,0.0,0.0,0.0,93.2388313908314,273.8864646464647,466.19415695415694,40
228,0.6451047235469649,0.9446153846153846,62.0,0.0,0.0,0.0,93.28929292929293,272.41569541569544,466.4464646464646,40
229,0.5947309095656257,0.936923076923077,61.0,0.0,0.0,0.0,94.226216006216,275.3772338772339,471.13108003108005,40
230,0.5389096307159393,0.936923076923077,61.0,0.0,0.0,0.0,95.16313908313907,278.33877233877234,475.8156954156954,40
231,0.48158885627944936,0.9523076923076923,63.0,0.0,0.0,0.0,94.81393162393161,274.79273504273505,474.06965811965813,40
232,0.4713061054976208,0.9356410256410257,62.0,0.0,0.0,0.0,95.74957264957266,277.6709401709402,478.7478632478633,40
233,0.49804106085200595,0.9356410256410257,62.0,0.0,0.0,0.0,96.68521367521367,280.5491452991453,483.4260683760684,40
234,0.5097704993755479,0.9446153846153846,64.0,0.0,0.0,0.0,96.48495726495726,277.7478632478633,482.42478632478634,40
235,0.5326029010329199,0.9314285714285713,64.0,0.0,0.0,0.0,96.42188034188034,275.63247863247864,482.1094017094017,40
236,0.605655405916637,0.9314285714285713,64.0,0.0,0.0,0.0,97.35330891330891,278.4896214896215,486.76654456654455,40
237,0.6545880833502637,0.9314285714285713,64.0,0.0,0.0,0.0,98.28473748473749,281.34676434676436,491.4236874236874,40
238,0.7021932911281642,0.9314285714285713,64.0,0.0,0.0,0.0,99.21616605616605,284.2039072039072,496.0808302808303,40
239,0.6499550921688855,0.9314285714285713,64.0,0.0,0.0,0.0,100.14759462759463,287.0610500610501,500.73797313797314,40
240,0.5784378489854016,0.9314285714285713,64.0,0.0,0.0,0.0,101.0790231990232,289.9181929181929,505.39511599511604,45
241,0.5501856900766597,0.9314285714285713,64.0,0.0,0.0,0.0,102.01045177045178,292.77533577533575,510.0522588522589,45
242,0.4976222418633105,0.9714285714285713,65.0,0.0,0.0,0.0,102.98188034188033,295.63247863247864,514.9094017094017,45
243,0.5179464009221744,0.9714285714285713,65.0,0.0,0.0,0.0,103.95330891330892,298.4896214896215,519.7665445665446,45
