time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
199,1.7350781045727834,0.7856140350877192,38.0,0.0,0.0,0.0,80.81105263157895,0.0,404.05526315789473,35
200,1.800962367479718,0.8056140350877193,39.0,0.0,0.0,0.0,81.61666666666666,0.0,408.0833333333333,35
201,1.957567227118681,0.8056140350877193,39.0,0.0,0.0,0.0,82.42228070175439,0.0,412.1114035087719,35
202,1.8713829792882635,0.8056140350877193,39.0,0.0,0.0,0.0,83.2278947368421,0.0,416.13947368421054,35
203,1.903749822041783,0.8056140350877193,39.0,0.0,0.0,0.0,84.03350877192983,0.0,420.16754385964913,35
204,2.0316789219726807,0.8389473684210527,40.0,0.0,0.0,0.0,84.87245614035088,0.0,424.3622807017544,35
205,2.131746707079645,0.8389473684210527,41.0,0.0,0.0,0.0,80.92140350877193,0.0,404.6070175438596,35
206,2.1323294180242636,0.7989473684210526,40.0,0.0,0.0,0.0,81.72035087719297,0.0,408.6017543859649,35
207,2.1173534520402084,0.7989473684210526,40.0,0.0,0.0,0.0,82.51929824561404,0.0,412.59649122807014,35
208,2.0393355577824113,0.7989473684210526,40.0,0.0,0.0,0.0,83.31824561403508,0.0,416.5912280701755,35
209,2.0594255736673723,0.821169590643275,41.0,0.0,0.0,0.0,84.13941520467836,0.0,420.69707602339184,35
210,2.0962580887456634,0.821169590643275,41.0,0.0,0.0,0.0,84.96058479532164,0.0,424.80292397660816,40
211,1.6856994227443607,0.8303759398496242,43.0,0.0,0.0,0.0,82.65413533834587,0.0,413.2706766917293,40
212,1.5386198084358278,0.7818045112781956,41.0,0.0,0.0,0.0,83.43593984962408,0.0,417.1796992481203,40
213,1.4242521255163676,0.8018045112781955,42.0,0.0,0.0,0.0,84.23774436090225,0.0,421.18872180451126,40
214,1.4842184387082384,0.8503759398496241,44.0,0.0,0.0,0.0,85.08812030075188,0.0,425.4406015037594,40
215,1.5422460915970784,0.8503759398496241,44.0,0.0,0.0,0.0,85.9384962406015,0.0,429.6924812030075,40
